"","labels","radzCorr","radzPval","moonCorr","moonPval","macCorr","macPval","wimCorr","wimPval","fauCorr","fauPval"
"1","Rose",0.804121712639131,3.33716731242273e-05,-0.704301118174193,3.33716731242273e-05,0.804121712639131,3.33716731242273e-05,0.430451614396299,0.0581516927743799,0.903957105700541,4.63965164065883e-08
"2","Empirical Mean",0.856879869618286,2.80273994901492e-06,-0.761228016410163,2.80273994901492e-06,0.856879869618286,2.80273994901492e-06,0.480036285658958,0.0321874193573732,0.910116755135979,2.61471719831263e-08
"3","Theoretical Mean",0.860038471853582,2.34470176896373e-06,-0.767714018215668,2.34470176896373e-06,0.860038471853582,2.34470176896373e-06,0.475044713455496,0.0342890209759401,0.910641452195311,2.48538163383216e-08
"4","Empirical Median",0.871109697478538,1.2104964317583e-06,-0.763739226531113,1.2104964317583e-06,0.871109697478538,1.2104964317583e-06,0.483615628393565,0.0307434789949375,0.898279976866392,7.61552125805309e-08
"5","Theoretical Median",0.87414285198397,9.9935077946256e-07,-0.769490680937232,9.9935077946256e-07,0.87414285198397,9.9935077946256e-07,0.481500098288454,0.031590627970385,0.899568160303336,6.82317851108394e-08
"6","Empirical Sqrt Mean",0.876393915187613,8.64077038142952e-07,-0.770626976890831,8.64077038142952e-07,0.876393915187613,8.64077038142952e-07,0.462039204624769,0.0402690309889007,0.904080336911883,4.58846793893741e-08
"7","Theoretical Sqrt Mean",0.877035753142316,8.28551094844698e-07,-0.773332893665531,8.28551094844698e-07,0.877035753142316,8.28551094844698e-07,0.457821570478036,0.0423722745398432,0.903529676026474,4.82109523414209e-08
"8","Empirical Box-Cox Mean",0.90071114221453,1.46220702879063e-07,-0.781193456587522,1.46220702879063e-07,0.90071114221453,1.46220702879063e-07,0.458593776148264,0.0419809843574019,0.898770723431837,7.30462366149709e-08
"9","Theoretical Box-Cox Mean",0.898663111423838,1.7268939300763e-07,-0.780698365122386,1.7268939300763e-07,0.898663111423838,1.7268939300763e-07,0.454201665941659,0.0442442199913826,0.899681634467914,6.75698790253421e-08
"10","100% Buried",0.848254529149285,4.46920800056816e-06,-0.684025657450426,4.46920800056816e-06,0.848254529149285,4.46920800056816e-06,0.324918505468916,0.162177511259421,0.733948066873246,0.00022991084937285
"11","95% Buried",0.897582300402587,1.88271679357754e-07,-0.776795072461941,1.88271679357754e-07,0.897582300402587,1.88271679357754e-07,0.424593691056942,0.0620425711009498,0.881962114282329,2.73212847012871e-07
