"","AminoAcid","meanEmp","medianEmp","meanEmpSqrt","meanEmpBC","meanTheo","medianTheo","meanTheoSqrt","meanTheoBC","ScaleFrac","ScaleFrac95"
"1","ALA",0.782461244477383,0.87603305785124,0.633923777424953,-0.294454079777928,0.79595202001367,0.883720930232558,0.645456643854493,-0.288526921937050,0.222977421889934,0.394235466536395
"2","ARG",0.634393220970195,0.641509433962264,0.429739458451947,-0.40931514074682,0.646402202763145,0.653284671532847,0.43918324814434,-0.409798877628313,0.0109340054670027,0.0694025347012674
"3","ASN",0.653867095501132,0.663101604278075,0.464938915384909,-0.384669452617998,0.668067419788265,0.676923076923077,0.476029467855436,-0.383765095692421,0.0445231369116301,0.141765805912545
"4","ASP",0.623294241430838,0.625,0.430047340564056,-0.397964829233249,0.640860831208675,0.642487046632124,0.443495037447694,-0.39847796127945,0.0274420798207864,0.101839297294111
"5","CYS",0.888068343616516,0.957142857142857,0.753758734973044,-0.232567428573102,0.900820051305774,0.962025316455696,0.768209139383947,-0.220576530356964,0.273355481727575,0.538604651162791
"6","GLN",0.633440661234605,0.627906976744186,0.436402010589872,-0.398083449402143,0.64816849181,0.642857142857143,0.447840363652983,-0.398292567477765,0.0263852242744063,0.103828172013146
"7","GLU",0.582387848483419,0.572093023255814,0.387734136235125,-0.402971347488309,0.597369450331548,0.587443946188341,0.398816787342799,-0.40522382626603,0.0169303583502366,0.06631507775524
"8","GLY",0.729469113087893,0.775510204081633,0.564029270580649,-0.343082261566716,0.745076664255899,0.788461538461538,0.576792163974602,-0.33863097766996,0.161528182121892,0.286355175869804
"9","HIS",0.717623953128299,0.759615384615385,0.527244734092432,-0.36647674853194,0.718975034692278,0.760765550239234,0.528377083660756,-0.366180273102092,0.0508539188777066,0.186413540713632
"10","ILE",0.873164277665885,0.953846153846154,0.735334375393392,-0.226837338380304,0.874451949973846,0.954314720812183,0.736681282989383,-0.225855797621595,0.238677078548461,0.509110396570204
"11","LEU",0.853054124902763,0.9375,0.707121411249619,-0.246046836098604,0.859633790951893,0.940298507462687,0.713753484388057,-0.24155517825912,0.207276483415586,0.477753548337733
"12","LYS",0.544835730587548,0.537444933920705,0.348504841681057,-0.404557259195497,0.564040974022673,0.556962025316456,0.362397592644744,-0.409722302433516,0.00596001025378108,0.0274929505255063
"13","MET",0.832509667679635,0.926108374384236,0.686237551989876,-0.251382237282796,0.844034231830119,0.931192660550459,0.697224495179532,-0.244550867981048,0.211007201977857,0.450392346554875
"14","PHE",0.862218968349513,0.94298245614035,0.715377178695068,-0.238915966619694,0.868560354743468,0.94560669456067,0.722004227080329,-0.234307543266214,0.184742568320055,0.476869699306091
"16","SER",0.715365300891617,0.748251748251748,0.536619414335584,-0.354615876274293,0.730445284950339,0.76158940397351,0.549061434226289,-0.350995940181233,0.0988620199146515,0.230026078710289
"17","THR",0.724360785060436,0.751552795031056,0.544099365334663,-0.349760569561693,0.741988874387966,0.767441860465116,0.558918430401372,-0.345061213694577,0.098365847479098,0.236603749683304
"18","TRP",0.834287168704698,0.89811320754717,0.66134190831419,-0.287144746846877,0.844276949314698,0.904255319148936,0.671708347794347,-0.280754918479333,0.0937243401759531,0.357771260997067
"19","TYR",0.810803100248284,0.866666666666667,0.629212220101541,-0.311099804507086,0.816558139024002,0.870722433460076,0.634895127732733,-0.308028259293377,0.0799711121810303,0.302503610977371
"20","VAL",0.855582435205697,0.945454545454545,0.715283610350276,-0.243203651095577,0.863052309246782,0.948275862068966,0.722744726133474,-0.23801252060068,0.246773309413465,0.487616484776
