labels	wolfCorr	wolfPval	kyteCorr	kytePval	radzCorr	radzPval	moonCorr	moonPval	macCorr	macPval	wimCorr	wimPval	fauCorr	fauPval
Rose	0.61402869153018	0.0039761118428383	0.840974629946379	3.41597384889702e-06	0.804121712639131	3.33716731240052e-05	-0.704301118174193	3.33716731240052e-05	0.804121712639131	3.33716731240052e-05	0.430451614396299	0.0581516927743801	0.903957105700541	4.63965164065883e-08
Empirical Mean	0.734135621245177	2.28629527738944e-04	0.86262878527357	9.94147018484881e-07	0.843501515437938	5.71068917598616e-06	-0.802315928892329	5.71068917598616e-06	0.843501515437938	5.71068917598616e-06	0.450084958827363	0.0464498115943175	0.921536654090332	8.03193778153855e-09
Theoretical Mean	0.746256377740147	1.57748619152187e-04	0.865967541071143	8.0688255676975e-07	0.847977352355125	4.53457391458301e-06	-0.810985214427511	4.53457391458301e-06	0.847977352355125	4.53457391458301e-06	0.443178283243689	0.050338810915143	0.918943521540621	1.06589637116628e-08
Empirical Median	0.75512395591282	1.18679632091112e-04	0.898087315208585	7.74071775566654e-08	0.869198536404472	1.36256240690358e-06	-0.805981832465064	1.36256240690358e-06	0.869198536404472	1.36256240690358e-06	0.478347683871726	0.0328867713499976	0.918202776566216	1.15364899855308e-08
Theoretical Median	0.763811303590913	8.87703516847527e-05	0.900963500497899	6.04752208310799e-08	0.872942276290111	1.07874667598651e-06	-0.813357305300516	1.07874667598651e-06	0.872942276290111	1.07874667598651e-06	0.474519573621606	0.0345161965556164	0.917801178009861	1.20383483181996e-08
Empirical Sqrt Mean	0.765547762055539	8.36434418252097e-05	0.905926323839714	3.87897347575716e-08	0.867211506922803	1.53798282953588e-06	-0.800536272292497	1.53798282953588e-06	0.867211506922803	1.53798282953588e-06	0.440794813810108	0.0517371388903209	0.915495730747182	1.53091255228333e-08
Theoretical Sqrt Mean	0.772012927240256	6.67279288055767e-05	0.906397219143982	3.71422892442297e-08	0.868838526033497	1.3929907369814e-06	-0.805110848491541	1.3929907369814e-06	0.868838526033497	1.3929907369814e-06	0.435973181301885	0.0546564178431015	0.91327434314022	1.91765079371464e-08
Empirical Box-Cox Mean	0.769729763517889	7.23292239768192e-05	0.943299517750979	4.67854865959794e-10	0.893337675720229	2.61955447555806e-07	-0.784840426913535	2.61955447555806e-07	0.893337675720229	2.61955447555806e-07	0.439476614038972	0.0525231337863561	0.903407575147844	4.87405933391472e-08
Theoretical Box-Cox Mean	0.772677437374547	6.51696088811438e-05	0.940131862984111	7.54251550105778e-10	0.892462031550685	2.79945953973737e-07	-0.786359462057902	2.79945953973737e-07	0.892462031550685	2.79945953973737e-07	0.438012347356867	0.053406872496081	0.903536108208575	4.81831921028686e-08
100_Buried	0.826714120459279	7.00232006201063e-06	0.953151413710575	8.70645777695245e-11	0.844160259438805	5.52259184516402e-06	-0.678708166991728	5.52259184516402e-06	0.844160259438805	5.52259184516402e-06	0.322803461388011	0.165087524276663	0.733578604301146	2.32452879680434e-04
95_Buried	0.790345955668177	3.37406242691962e-05	0.946330789131071	2.88541412984955e-10	0.885500570974228	4.65582209674409e-07	-0.770412591030136	4.65582209674409e-07	0.885500570974228	4.65582209674409e-07	0.404267565633522	0.0770794211790675	0.877276453486094	3.81020177409042e-07
