AminoAcid	meanEmp	medianEmp	meanEmpSqrt	meanEmpBC	meanTheo	medianTheo	meanTheoSqrt	meanTheoBC	ScaleFrac	ScaleFrac95
ALA	0.782498374298337	0.87603305785124	0.635002854753992	-0.28951759963202	0.795986847210068	0.883720930232558	0.646501725928075	-0.283510881534862	0.228008926795855	0.398523985239852
ARG	0.638818377689966	0.645283018867925	0.434771003670471	-0.405484873883285	0.650682007619858	0.656934306569343	0.444131468546557	-0.405670080788596	0.0120588688549854	0.074934504546155
ASN	0.658246822881869	0.668449197860963	0.469218455122723	-0.381144362556462	0.67226746604569	0.682051282051282	0.480220302842752	-0.379962248369717	0.0451162401739421	0.145634721525339
ASP	0.634245876268952	0.636363636363636	0.438865208533222	-0.395853111629642	0.645616470789088	0.647668393782384	0.447656375566199	-0.395884498683252	0.0275722723033883	0.104320795772459
CYS	0.899285400901548	0.966216216216216	0.769120849628745	-0.217206033948707	0.910743948104366	0.970059880239521	0.782651154495041	-0.205501771006138	0.287027725901451	0.576353972130441
GLN	0.636368871420466	0.630841121495327	0.440309628359906	-0.394004306226383	0.654146393262132	0.648888888888889	0.454162381530029	-0.393828698173966	0.028871787133444	0.109048840601579
GLU	0.588805263732192	0.574766355140187	0.39405833079867	-0.400872738793873	0.605400566989637	0.591928251121076	0.406411779328533	-0.402890177784053	0.0182836484324068	0.0716825697860487
ILE	0.874695880690061	0.958974358974359	0.738664315243129	-0.220081425503839	0.875968003728741	0.959390862944162	0.73999427647034	-0.219104551483887	0.247106369220821	0.51577756223731
LEU	0.85326218765158	0.942408376963351	0.708927474562697	-0.240197868369794	0.860562576325631	0.945273631840796	0.716260454399003	-0.235194928118299	0.212730818210761	0.486091212989494
LYS	0.554041733060171	0.547826086956522	0.355869699429759	-0.405313556223877	0.565379655101015	0.559322033898305	0.364110511726853	-0.408125653246343	0.00596858638743455	0.0283071553228621
MET	0.840954497457868	0.935960591133005	0.697564396683256	-0.240708695232295	0.855865013321192	0.941964285714286	0.712089883250577	-0.23123906463508	0.217186024551464	0.483947119924457
PHE	0.863653666031477	0.942982456140351	0.717569536937854	-0.233563854943452	0.870470982729903	0.945833333333333	0.72472083598241	-0.228541484697042	0.185850793372491	0.482554571754186
SER	0.722452345342519	0.762237762237762	0.545024303610779	-0.347446442317182	0.743939905703098	0.780645161290323	0.56299101319055	-0.34147853242233	0.104739884393064	0.240693641618497
THR	0.727557748278498	0.754601226993865	0.546914819748889	-0.345651495496542	0.741813447496483	0.767441860465116	0.558928053700099	-0.341669916973724	0.0986958516285471	0.237237040435153
TRP	0.837018774663433	0.901515151515151	0.665882577849118	-0.279197861871045	0.849027917582969	0.908771929824561	0.678427682569763	-0.271274284302272	0.097941283956633	0.367523449872092
TYR	0.812801135749528	0.870588235294118	0.631578921638979	-0.306175192977874	0.81849539777996	0.874524714828897	0.637225555835724	-0.303051064642135	0.0797040274122262	0.306351492277896
VAL	0.856534090909091	0.945454545454545	0.717401783475591	-0.23749185977045	0.86395474137931	0.948275862068966	0.724807391618515	-0.232297367777391	0.250130862646566	0.494189698492462
