AminoAcid	meanTheo	meanEmp	ScaleFrac	ScaleFrac95
ALA	0.794392994453897	0.782498374298337	0.228008926795855	0.398523985239852
ARG	0.648113492970004	0.638818377689966	0.0120588688549854	0.074934504546155
ASN	0.67226746604569	0.658246822881869	0.0451162401739421	0.145634721525339
ASP	0.643770723241115	0.634245876268952	0.0275722723033883	0.104320795772459
CYS	0.909111215447738	0.899285400901548	0.287027725901451	0.576353972130441
GLN	0.652602403946338	0.636368871420466	0.028871787133444	0.109048840601579
GLU	0.601829531396783	0.588805263732192	0.0182836484324068	0.0716825697860487
GLY	0.748782051282051	0.730652920962199	0.165568039950062	0.291335830212235
HIS	0.722503078405731	0.731496034198138	0.0531957765777384	0.18820020955912
ILE	0.875968003728741	0.874695880690061	0.247106369220821	0.51577756223731
LEU	0.859865389207259	0.85326218765158	0.212730818210761	0.471386501114295
LYS	0.563530206824849	0.554041733060171	0.00596858638743455	0.0283071553228621
MET	0.852574260200672	0.840954497457868	0.217186024551464	0.472497639282342
PHE	0.868831374916357	0.863653666031477	0.185850793372491	0.482554571754186
PRO	0.669025897964666	0.658279985560921	0.0606548366834171	0.162413630653266
SER	0.740592714927975	0.722452345342519	0.104739884393064	0.240693641618497
THR	0.740303584616346	0.727557748278498	0.0986958516285471	0.237237040435153
TRP	0.848496325743473	0.837018774663433	0.097941283956633	0.367523449872092
TYR	0.81849539777996	0.812801135749528	0.0797040274122262	0.306351492277896
VAL	0.863168352601156	0.856534090909091	0.250130862646566	0.494189698492462
