AminoAcid	max_theo_100	max_emp_100	pop_97	max_theo_97	max_emp_97	pop_80	max_theo_80	max_emp_80
Ala	137	121	4	128	121	47	127	121
Arg	283	265	2	272	265	23	270	265
Asn	203	187	2	195	187	15	192	187
Asp	202	187	3	192	187	20	192	187
Cys	169	148	0	164	148	5	157	133
Gln	233	214	2	224	214	18	224	214
Glu	232	214	3	221	214	34	221	214
Gly	113	97	2	104	97	15	103	97
His	210	216	1	209	216	9	207	216
Ile	208	195	6	197	195	40	196	195
Leu	210	191	7	200	191	59	197	191
Lys	246	230	3	235	230	27	235	229
Met	227	203	0	219	203	8	216	203
Pro	165	154	7	159	154	80	156	154
Phe	250	228	2	237	228	20	236	226
Ser	160	143	2	153	143	27	150	143
Thr	181	163	3	171	163	33	170	161
Trp	295	264	0	284	264	8	281	262
Tyr	273	255	2	263	255	18	261	255
Val	183	166	7	173	165	50	173	165
