AminoAcid	max_theo_100	max_emp_100	pop_97	max_theo_97	max_emp_97	pop_80	max_theo_80	max_emp_80	max_theo_gen	max_emp_gen
Ala	138	121	4	129	121	47	128	121	132	121
Arg	285	265	2	274	265	23	274	265	280	265
Asn	204	187	2	195	187	15	193	187	199	187
Asp	204	187	3	193	187	20	192	187	197	187
Cys	169	148	0	167	148	5	157	133	167	148
Gln	234	214	2	225	214	18	224	214	228	214
Glu	233	214	3	223	214	34	222	214	227	214
Gly	114	97	2	104	97	15	104	97	109	97
His	213	216	1	209	216	9	209	216	209	216
Ile	208	195	6	197	195	40	196	195	201	195
Leu	211	191	7	201	191	59	199	191	205	191
Lys	246	230	3	236	230	27	235	229	240	230
Met	227	203	0	224	203	8	218	203	226	203
Phe	251	228	2	240	228	20	236	226	244	228
Pro	166	154	7	159	154	80	157	154	164	154
Ser	161	143	2	155	143	27	150	143	158	143
Thr	182	163	3	172	163	33	171	161	176	163
Trp	295	264	0	285	264	8	282	262	293	264
Tyr	274	255	2	263	255	18	262	255	266	255
Val	184	166	7	174	165	50	173	165	177	166
